,,Low,Travel Time,Rolling Avg,Medium,Travel Time,Rolling Avg,High,Travel Time,Rolling Avg
1,263,130.5,130500,,68.5,68500,,68.5,68500,
2,263,130,130000,,130.5,130500,,70.5,70500,
4,263,129,129000,,130,130000,,130.5,130500,
7,263,127,127000,,129,129000,,130,130000,
8,263,125,125000,,127.5,127500,,129,129000,
10,263,123.5,123500,,126,126000,,126.5,126500,
11,263,121.5,121500,,123,123000,,125,125000,
13,263,120,120000,,121.5,121500,,122.5,122500,
14,263,117.5,117500,,120,120000,,119.5,119500,
16,263,116,116000,124000,119.5,119500,119550,117.5,117500,113950
19,263,114.5,114500,122400,118,118000,124500,116,116000,118700
22,263,113,113000,120700,116.5,116500,123100,114.5,114500,123100
24,263,111.5,111500,118950,115,115000,121600,113,113000,121350
26,263,110,110000,117250,113,113000,120000,111.5,111500,119500
27,263,108.5,108500,115600,112,112000,118450,108,108000,117400
30,263,107,107000,113950,111.5,111500,117000,107.5,107500,115500
32,263,105.5,105500,112350,109.5,109500,115650,105,105000,113500
33,263,103.5,103500,110700,108,108000,114300,103.5,103500,111600
36,263,102,102000,109150,106.5,106500,112950,101.5,101500,109800
38,263,100.5,100500,107600,105,105000,111500,100.5,100500,108100
39,263,99,99000,106050,103.5,103500,110050,96.5,96500,106150
40,263,97.5,97500,104500,101.5,101500,108550,96,96000,104300
42,263,95.5,95500,102900,99.5,99500,107000,93,93000,102300
44,263,83.5,83500,100250,98,98000,105500,89.5,89500,100100
45,263,68.5,68500,96250,96.5,96500,103950,85,85000,97800
46,288,65,65000,92050,86,86000,101400,81.5,81500,95200
85,455,65,65000,88000,65,65000,96950,78.5,78500,92550
47,459,145,145000,92150,143.5,143500,100500,75.5,75500,89750
48,459,143.5,143500,96300,142,142000,104050,73.5,73500,86950
49,459,142,142000,100450,140.5,140500,107600,65,65000,83400
52,459,140,140000,104550,139,139000,111150,65,65000,80250
54,459,138,138000,108600,136.5,136500,114650,65,65000,77150
56,459,136.5,136500,112700,133.5,133500,118050,65,65000,74350
58,459,134.5,134500,117800,132,132000,121450,65,65000,71900
59,459,133.5,133500,124300,130.5,130500,124850,65,65000,69900
61,459,132,132000,131000,126.5,126500,128900,143.5,143500,76100
63,459,130,130000,137500,123,123000,134700,141.5,141500,82400
65,459,128.5,128500,135850,121.5,121500,132500,139.5,139500,88800
68,459,127,127000,134200,120,120000,130300,138,138000,95250
70,459,125.5,125500,132550,117.5,117500,128000,136.5,136500,102400
72,459,122.5,122500,130800,115.5,115500,125650,135,135000,109400
75,459,121,121000,129100,114,114000,123400,133,133000,116200
76,459,117.5,117500,127200,112.5,112500,121300,131.5,131500,122850
77,459,114.5,114500,125200,109,109000,119000,130,130000,129350
79,459,112.5,112500,123100,97,97000,115650,128.5,128500,135700
80,459,112,112000,121100,87.5,87500,111750,125,125000,133850
81,459,109.5,109500,119050,65,65000,105950,123.5,123500,132050
84,459,87.5,87500,114950,65.5,65500,100350,123,123000,130400
86,462,65,65000,108750,65.5,65500,94900,121.5,121500,128750
87,473,65.5,65500,102750,65.5,65500,89700,120,120000,127100
89,477,65.5,65500,97050,65.5,65500,84700,119.5,119500,125550
90,480,65,65000,91450,65,65000,79800,118,118000,124050
91,484,65.5,65500,86250,65.5,65500,75100,116,116000,122500
94,489,65,65000,81300,71,71000,71300,114.5,114500,120950
118,650,65.5,65500,76600,70.5,70500,68650,113,113000,119400
120,653,65.5,65500,71950,69,69000,66800,110,110000,117900
96,655,147,147000,75700,147.5,147500,75050,106.5,106500,116200
98,655,145,145000,81450,144,144000,82900,105,105000,114400
101,655,143.5,143500,89300,142.5,142500,90600,100,100000,112250
103,655,140.5,140500,96800,141,141000,98150,90,90000,109250
104,655,136.5,136500,103900,138.5,138500,105450,88.5,88500,106150
106,655,133.5,133500,110750,136.5,136500,112600,87,87000,103050
108,655,131.5,131500,117350,135,135000,119550,83,83000,99750
110,655,130,130000,123850,132.5,132500,125700,72,72000,95500
111,655,128.5,128500,130150,130.5,130500,131700,65,65000,90700
112,655,125,125000,136100,129,129000,137700,65,65000,86200
114,655,123,123000,133700,127,127000,135650,65,65000,82050
115,655,103.5,103500,129550,125.5,125500,133800,65.5,65500,78100
116,655,87,87000,123900,124,124000,131950,65,65000,74600
117,655,73,73000,117150,122,122000,130050,65.5,65500,72150
122,751,109.5,109500,114450,117.5,117500,127950,65.5,65500,69850
124,751,105.5,105500,111650,115,115000,125800,65,65000,67650
125,751,104,104000,108900,112,112000,123500,65.5,65500,65900
126,751,100.5,100500,105950,100,100000,120250,65.5,65500,65250
128,751,98,98000,102900,87,87000,115900,65,65000,65250
130,915,178.5,178500,108250,112.5,112500,114250,69,69000,65650
132,915,177,177000,113650,110.5,110500,112600,68.5,68500,66000
135,915,175,175000,120800,107.5,107500,110800,71,71000,66550
137,915,173,173000,129400,106,106000,109000,147.5,147500,74800
140,915,171.5,171500,139250,104.5,104500,107250,147,147000,82950
142,915,170,170000,145300,101.5,101500,105650,145,145000,90900
144,915,167,167000,151450,100,100000,104150,143,143000,98700
146,915,159.5,159500,157000,98,98000,102750,141.5,141500,106300
147,915,153,153000,162250,177.5,177500,110500,140,140000,113750
148,915,150.5,150500,167500,176,176000,119400,138,138000,121050
149,915,144.5,144500,164100,174,174000,125550,137,137000,127850
150,915,130,130000,159400,172,172000,131700,135.5,135500,134550
151,915,119,119000,153800,170.5,170500,138000,133,133000,140750
152,915,116.5,116500,148150,170,170000,144400,132,132000,139200
155,915,114,114000,142400,168.5,168500,150800,130.5,130500,137550
157,915,112,112000,136600,154.5,154500,156100,129,129000,135950
159,915,110,110000,130900,148.5,148500,160950,127.5,127500,134400
160,915,108,108000,125750,146,146000,165750,124,124000,132650
163,915,105.5,105500,121000,140,140000,162000,120.5,120500,130700
165,915,104,104000,116350,131.5,131500,157550,116,116000,128500
167,915,102.5,102500,112150,127,127000,152850,108,108000,125600
169,915,99.5,99500,109100,123.5,123500,148000,105.5,105500,122600
171,915,97.5,97500,106950,116.5,116500,142600,98,98000,119100
172,915,96,96000,104900,114.5,114500,137050,86.5,86500,114550
173,915,94.5,94500,102950,113,113000,131500,85,85000,110000
175,915,92.5,92500,101000,111.5,111500,127200,77.5,77500,104850
176,915,91,91000,99100,110,110000,123350,76,76000,99700
179,915,89.5,89500,97250,108,108000,119550,73.5,73500,94650
181,915,87,87000,95400,107.5,107500,116300,65,65000,89100
183,915,85.5,85500,93550,106,106000,113750,111.5,111500,88650
185,915,84,84000,91700,104.5,104500,111500,109,109000,88750
187,915,82,82000,89950,102.5,102500,109400,108.5,108500,89050
188,1079,155.5,155500,95750,101,101000,107850,107.5,107500,90000
189,1079,133,133000,99450,99,99000,106300,106,106000,91950
190,1079,116.5,116500,101650,97.5,97500,104750,105.5,105500,94000
191,1079,113,113000,103700,96,96000,103200,104.5,104500,96700
193,1079,111.5,111500,105750,93.5,93500,101550,102.5,102500,99350
196,1079,110,110000,107800,91,91000,99850,101.5,101500,102150
197,1079,107.5,107500,109850,89,89000,98000,100,100000,105650
201,1079,106,106000,111900,87.5,87500,96150,99.5,99500,104450
203,1079,104.5,104500,113950,86,86000,94300,98.5,98500,103400
205,1079,102.5,102500,116000,84.5,84500,92500,178.5,178500,110400
207,1079,101,101000,110550,83,83000,90700,177,177000,117350
210,1079,99,99000,107150,163.5,163500,97150,174,174000,124150
213,1079,97.5,97500,105250,157,157000,103100,173,173000,130900
215,1079,95,95000,103450,151,151000,108600,172.5,172500,137700
217,1079,91,91000,101400,149.5,149500,114200,171.5,171500,144600
219,1079,89,89000,99300,132,132000,118300,170,170000,151450
221,1079,86.5,86500,97200,127,127000,122100,168.5,168500,158300
223,1079,84,84000,95000,118,118000,125150,167,167000,165050
226,1079,82,82000,92750,115.5,115500,128100,160.5,160500,171250
228,1079,79,79000,90400,112.5,112500,130900,156.5,156500,169050
230,1243,144,144000,94700,108.5,108500,133450,153,153000,166650
231,1243,142.5,142500,99050,106,106000,127700,149,149000,164150
232,1243,130.5,130500,102350,104,104000,122400,147,147000,161550
233,1243,122,122000,105050,101.5,101500,117450,138.5,138500,158150
234,1243,108,108000,106750,99.5,99500,112450,127,127000,153700
