Vehicle_ID,Epoch_ms,Veh_Len,Veh_Velocity,Lane_ID,Org_Zone,Dest_Zone
1558,1164030800,15,22.04,0,101,215
1621,1164011000,16.1,28.46,1,102,214
1640,1164009200,15,26.68,1,102,214
1483,1164008200,15.6,20.06,2,101,214
1452,1164003700,20,16.55,2,102,214
1473,1163999600,15.9,28.04,1,102,214
1543,1163997500,16.8,29.3,1,123,214
1476,1163995900,15,27.57,1,101,214
1382,1163930900,14.6,12.04,0,123,215
1390,1163926400,15.9,23.7,1,123,214
1387,1163924300,15.7,34.02,1,123,214
1369,1163922000,15.7,33.04,1,123,214
1364,1163919200,16.2,33.83,1,123,214
1343,1163917500,16,28.38,1,101,214
1431,1163915400,15.9,31.99,2,102,214
1311,1163915000,15,34.12,1,101,214
1331,1163913600,16,33.92,1,101,214
1170,1163912400,15.5,27.07,1,101,214
1350,1163912200,15.8,28.21,2,102,214
1232,1163910800,15.3,26.54,1,102,214
1308,1163910200,15,26.82,2,101,214
1289,1163908100,14.5,30.53,2,101,214
1176,1163886700,16,21.42,0,101,215
1303,1163884700,15.2,21.77,0,102,215
1182,1163825500,16.4,29.44,1,123,214
1192,1163822100,16.7,32.79,1,123,214
1165,1163813800,16.6,35.12,1,101,214
1157,1163811500,17,33.47,1,101,214
1173,1163809700,16.5,30.16,2,101,214
1155,1163808900,16.5,28.79,1,101,214
1152,1163807300,16,26.45,1,101,214
1123,1163805600,17,26.33,2,101,214
1147,1163803500,15,29.91,1,101,214
984,1163803400,17,28.58,2,101,214
1131,1163801400,15,28.28,1,101,214
1090,1163799600,17,26.05,1,102,214
1142,1163791800,15.5,27.06,0,101,215
1134,1163790700,14.5,22.79,0,101,215
1087,1163785700,22.5,21.49,0,102,215
1102,1163716800,14.5,25.94,1,101,214
1077,1163714300,23.8,27.97,1,102,214
1104,1163713000,15.5,39.17,2,101,214
975,1163712600,14.8,25.49,1,123,214
980,1163711200,17,39.92,2,101,214
951,1163710000,16,26.54,1,101,214
958,1163708600,17.1,38.07,2,101,214
945,1163707400,15.5,26.03,1,101,214
970,1163706100,17.1,39.51,2,123,214
932,1163705300,15.6,28.41,1,101,214
919,1163703400,15,29.6,1,101,214
903,1163701400,14.5,23.05,1,101,214
862,1163699300,15.5,29.18,1,101,214
925,1163697500,16.5,26.74,2,101,214
909,1163696900,16.6,24.26,1,101,214
846,1163616200,16.5,32.79,2,101,214
860,1163614600,15.5,35.94,1,101,214
826,1163614400,16,29.37,2,101,214
746,1163613400,15,30.1,1,101,214
758,1163607300,15.9,31.08,2,123,214
723,1163605700,17,20.64,2,102,214
749,1163605600,15.2,25.86,1,123,214
703,1163604600,16,23.05,1,101,214
671,1163518100,16.5,33.99,1,101,214
619,1163516600,16,37.45,1,101,214
669,1163509300,16.5,20.66,1,101,214
597,1163501800,14.1,28.54,1,102,214
601,1163500500,16.5,31.3,2,123,214
593,1163499300,18.5,30.66,1,101,214
562,1163497500,17,20.86,2,101,214
556,1163496600,17,27.67,1,101,214
564,1163495500,16,9.82,2,101,213
491,1163480900,17.5,20.96,0,123,215
530,1163421400,16.5,29.44,1,101,214
524,1163419800,16.5,26.81,1,102,214
396,1163417400,15.5,26.74,1,102,214
545,1163417000,17.1,34.94,2,101,214
390,1163415300,14.5,26.56,1,101,214
410,1163411900,15.2,9.49,2,123,213
373,1163411800,20.5,27.89,1,101,214
389,1163410500,16,31.34,2,101,214
366,1163407400,19.5,31.13,1,101,214
380,1163407000,29.5,33.15,2,101,214
334,1163405900,18.5,26.6,1,101,214
371,1163405700,20.5,10.72,2,101,214
1689,1163404200,15.5,20.9,1,101,214
370,1163403400,18.5,23.53,2,101,214
347,1163401700,19.5,19.12,2,101,214
256,1163399700,23,29.14,1,101,214
388,1163391500,14.5,20.13,0,101,215
363,1163386200,19.5,10.04,0,102,215
357,1163385000,17.5,10.08,0,101,215
307,1163321600,18,30.78,1,123,214
262,1163319600,20,28.65,2,101,214
261,1163318500,16,26.77,1,123,214
337,1163318500,14,30.72,2,123,214
253,1163314500,26.6,27.19,1,101,214
75,1163312200,42.6,11.24,2,101,214
252,1163312100,21,17.11,2,101,213
95,1163307000,18,26.09,2,101,214
247,1163306400,26,35.96,1,101,214
200,1163304900,16.5,24.53,2,123,214
1708,1163304300,17.5,28.02,1,101,214
177,1163302000,16,28.07,2,102,214
239,1163301600,33,27.9,1,102,214
170,1163300700,16,18.54,1,102,214
240,1163282900,24,18.47,0,101,215
142,1163219800,16,25.21,1,102,214
119,1163218300,16.7,28.94,2,123,214
50,1163216500,16.5,24.82,1,101,214
59,1163212200,14.5,26.18,1,101,214
39,1163210200,15,22.43,1,101,214
89,1163208000,16.5,28.8,2,101,214
17,1163207900,15.5,30.06,1,101,214
15,1163206000,18,24.71,1,101,214
85,1163205400,14.5,27.53,2,101,214
53,1163203300,15.5,28.23,2,101,214
2,1163201100,14,29.01,2,102,214
36,1163188000,16.6,16.9,0,101,215
